id,a_est,a_se,Tmin_est,Tmin_se,Tmax_est,Tmax_se,Value,Topt_se,starting_a,starting_Tmin,starting_Tmax
39,5.932908215654072e-4,3.916371053204989e-5,21.99640477131264,0.29317079469517415,35.9645688076949,0.1443392878654717,32.11682888206347,0.09330937679552048,4.7000000000000004e-4,21,36.5
39,5.988017523666469e-4,3.7968343028279135e-5,22.225718959030463,0.2697898403515038,36.13585624533384,0.15529497981812984,32.29717285662066,0.09887378921801125,4.8000000000000007e-4,21,36.5
39,6.462183806353919e-4,3.700664069885256e-5,22.323638556129296,0.2575900854727549,35.91000146535728,0.10971116583711811,32.14769872899511,0.0719871263856517,4.900000000000001e-4,21,36.5
39,6.353852930078626e-4,3.277451845194543e-5,22.359837026380333,0.21698348836165382,35.988065923076185,0.11453236838028005,32.21484630131387,0.07429265702393605,4.8000000000000007e-4,21,36.5
39,6.07815595561708e-4,3.342168848428219e-5,22.058180993035474,0.24957911059254775,36.02472602255877,0.1187146949072412,32.17603318101867,0.07572012739367563,4.900000000000001e-4,21,36.5
39,6.593902838827059e-4,3.261097198731867e-5,22.39869585545192,0.22034276458300817,36.009035021917875,0.10113094100106634,32.23935386372673,0.06487032155898782,5.000000000000001e-4,21,36.5
39,6.585725122090211e-4,3.7095579954227264e-5,22.57388098251506,0.24854398233514977,35.882244874944064,0.10319637714596457,32.182532333628075,0.06854146361368531,4.7000000000000004e-4,21,36.5
39,5.907415666180548e-4,3.507247024234779e-5,22.29630897814713,0.2656832927319536,36.04162440669949,0.12576963322526863,32.24133361925239,0.0801155826410935,4.6000000000000007e-4,21,36.5
39,5.836273994875871e-4,4.015697849020417e-5,22.092903436409657,0.3183319981922617,36.15427179197379,0.1545432360551646,32.28195392523199,0.09617285419229271,4.8000000000000007e-4,21,36.5
39,5.776270961719289e-4,3.622563207817045e-5,22.34893830973099,0.2593989639763248,36.32258400653258,0.17152980474133764,32.46590905189857,0.10871750052382724,4.7000000000000004e-4,21,36.5
39,6.191631302034736e-4,3.575738552252091e-5,22.211258057134017,0.24891503060791273,36.08237715643805,0.135092922485638,32.25343680974809,0.08621616491871659,4.900000000000001e-4,21,36.5
39,5.868625201109023e-4,3.523004174251139e-5,22.266937339565118,0.2562874135266598,36.190956513398724,0.149405370837291,32.34803458391097,0.09454054998151802,4.7000000000000004e-4,21,36.5
40,2.4212165048782532e-4,1.4411318464743053e-5,7.3526985422738,0.5421993550802318,30.10412499079545,0.14776861032505703,24.94565947818531,0.12463995123945297,1.1e-4,-5,30.5
40,0.00035837036419294457,1.7955429675343872e-5,9.550252520708161,0.4185441251250039,27.614288796753847,0.057638565468788594,23.2927282507585,0.07220596647060706,1.1e-4,-5,30.5
40,3.839763184622615e-4,1.7706813580659974e-5,9.627028857562765,0.39338478269612664,27.579733215526634,0.04184906148030294,23.27746415748653,0.06521632792015469,1.1e-4,-5,30.5
40,3.9037624155769985e-4,1.861015417769143e-5,10.056186514151753,0.3850615891382456,27.765488522991525,0.076882071338235,23.491861710382015,0.07378218929411721,1.2e-4,-5,30.5
40,2.2618301497020354e-4,1.5365461751279586e-5,6.177640458422257,0.6973111976162992,30.208506420178434,0.1966048593233552,24.872166471238693,0.15624412731593793,1.2e-4,-5,30.5
40,2.4188329829107153e-4,1.5709257125969074e-5,7.065537593540523,0.6310180900063851,30.11854060602355,0.14561397334331136,24.91810598779863,0.12797008720469388,1.2e-4,-5,30.5
40,2.2887757963906211e-4,1.4927535576782448e-5,6.948948445745679,0.6455723505921066,30.090090365158407,0.12754221530138135,24.87976142914945,0.12017346923274488,1.1e-4,-5,30.5
40,2.3724188931480164e-4,1.4579652403658138e-5,6.732499505299936,0.6287544243397382,30.02847641033861,0.0690122039058231,24.801758797916726,0.09491187181678289,1.2e-4,-4,30.5
40,2.383964766567323e-4,1.645336848749825e-5,6.825696501866661,0.6989617570385542,30.046944284404958,0.09791804572395799,24.828898944104335,0.1129419181388802,1.1e-4,-5,30.5
40,2.439753898529923e-4,1.4595401471157053e-5,7.190376914931171,0.5763257822801707,30.028052925371796,0.07310751216364417,24.863028622941577,0.09216196236355156,1.2e-4,-4,30.5
40,2.388620961500703e-4,1.5789094233500357e-5,6.762625192770109,0.6625309002811786,30.045487059632485,0.09904169476418717,24.819315784616457,0.10966886323432186,1.2e-4,-4,30.5
40,3.819681058227265e-4,1.7284064139081347e-5,9.84756636008023,0.38179070151424327,27.592993389993328,0.04314645163638337,23.322684912736747,0.06425058667403914,1.1e-4,-5,30.5
40,2.8054995460727067e-4,1.5409550519311677e-5,8.822548688804385,0.44459704848284937,30.0157550540083,0.05513358590725457,25.083127867455595,0.07529527342383928,1.1e-4,-5,30.5
40,2.407281225866663e-4,1.546735109400567e-5,7.147822022566105,0.5970935376907872,30.299600934129714,0.21928512907785658,25.073283532847256,0.1664146371030315,1.5000000000000001e-4,0,30.5
40,4.051710690239328e-4,1.7895707643555763e-5,10.135393123718822,0.3442262843562687,27.68102180026893,0.06475882627173554,23.437955945036105,0.06613791293920201,1.2e-4,-4,30.5
40,2.3294363631605084e-4,1.5504584414429467e-5,6.813345422724533,0.6757573440491794,30.11974063535246,0.13750213729098137,24.885192402628565,0.1260008406769882,1.2e-4,-4,30.5
40,3.7373209658485333e-4,1.676088197274703e-5,9.904545357285665,0.34454015148950523,27.72739466305123,0.07855985998405461,23.43771426212309,0.07122508445261923,1.2e-4,-4,30.5
40,2.429849968384279e-4,1.622222282204303e-5,7.258360069726697,0.6371819098322576,30.140520867652477,0.15988630908690485,24.961734842304075,0.1362541558343157,1.2e-4,-4,30.5
40,2.4380302543172667e-4,1.4547329562907117e-5,7.401014205485491,0.5918864757866378,30.02862919845307,0.06043784650371485,24.892241514271216,0.08992003206668481,1.2e-4,-4,30.5
40,2.2562536367306106e-4,1.609327597661218e-5,6.659296914275286,0.7421988203329208,30.143666685456193,0.15073614981112382,24.883735029389037,0.1365210549752597,1.1e-4,-5,30.5
40,2.157842622330682e-4,1.3797624150421902e-5,5.594118761567476,0.7163959570236096,30.086651895532956,0.1156651912512993,24.700171106799196,0.11603607304989653,1.2e-4,-4,30.5
40,2.4931914963710627e-4,1.6482264035528402e-5,7.2329491824326775,0.6565511077572803,30.077751259087897,0.10972625228752543,24.908349255015384,0.11371224213814654,1.2e-4,-5,30.5
40,2.5177798835200507e-4,1.614999481363342e-5,7.463747443273854,0.6146829276903354,30.105964010065872,0.1280119045500771,24.962343065816135,0.11867355437513576,1.3000000000000002e-4,-3,30.5
40,2.5525565985333454e-4,1.4957398594637463e-5,7.429845307295833,0.5476540736186291,30.064322329055067,0.10646532252088502,24.92457793966246,0.10350176970833033,1.2e-4,-5,30.5
40,2.403501879535665e-4,1.5231367564594432e-5,7.193345038526454,0.5966830854898736,30.197939396558482,0.18168169172822976,24.99857297910669,0.14494055717296797,1.3000000000000002e-4,-3,30.5
40,3.974547584181691e-4,1.882465744311159e-5,10.374789531728078,0.38750719037654674,27.620053932313766,0.04883640766086264,23.42855880176875,0.06749190921559114,1.1e-4,-5,30.5
40,2.6303860747197295e-4,1.4277850230892637e-5,8.402883767180098,0.4564598253721469,30.078897821893225,0.11291559949905791,25.072560137998078,0.10125342494536876,1.2e-4,-4,30.5
40,2.8113391597659e-4,1.6173743801124624e-5,8.499128034469628,0.4879944115328181,30.096493855708676,0.12196892522544016,25.1003273909444,0.10846817439801852,1.2e-4,-5,30.5
40,4.10686754086539e-4,1.778833113068933e-5,10.418601809306326,0.343226114017703,27.552106678146668,0.032445873617928056,23.382197050398705,0.058563728416019006,1.1e-4,-5,30.5
40,2.3190641818331625e-4,1.5702487739302708e-5,6.542527288189495,0.6920529167561082,30.1221040178087,0.14945784218872957,24.85111333293171,0.1327913968770505,1.2e-4,-4,30.5
40,2.461262235853381e-4,1.5390935075679315e-5,7.227274498390524,0.6145590941419828,30.025772794275472,0.06652024583229281,24.866233019212245,0.09424430454390033,1.2e-4,-4,30.5
40,2.6677482206611804e-4,1.4661811133448392e-5,8.12712078632235,0.49760918129611376,30.022763579704968,0.055557516360939634,24.98874732051237,0.07956321283408437,1.2e-4,-4,30.5
40,2.4060732277313745e-4,1.5130100680197243e-5,7.374869347614633,0.5865665779794602,30.09492093091507,0.13674287171294477,24.941373370771572,0.12163011648979535,1.1e-4,-5,30.5
40,2.6723746047410446e-4,1.609601142692974e-5,8.16017097787585,0.5139993997765171,30.19871525063238,0.17946030020553733,25.133133596562704,0.14177576602643063,1.6e-4,1,30.5
40,2.26365449807691e-4,1.617040189275438e-5,6.482911452239934,0.7433428889230791,30.0859523819955,0.13101072101773084,24.814462146425228,0.128854474019145,1.1e-4,-5,30.5
